"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC";"Math.RMS";"Math.AVG1000";"Math.StdDev";"Math.StdDev100"
223;105,578;1,7596333333;1752603307,086;9,9804365;9,980432749;9,9804325567;0,0000029413;0,0000027309
224;106,077;1,76795;1752603307,585;9,980431;9,98043276;9,9804325498;0,0000029365;0,0000027215
225;106,577;1,7762833333;1752603308,085;9,9804332;9,980432738;9,9804325527;0,0000029303;0,0000027088
226;107,077;1,7846166667;1752603308,586;9,9804365;9,980432782;9,98043257;0,0000029356;0,000002734
227;107,577;1,79295;1752603309,086;9,9804321;9,98043276;9,980432568;0,0000029293;0,0000027305
228;108,078;1,8013;1752603309,586;9,9804343;9,980432804;9,9804325755;0,0000029251;0,0000027194
229;108,578;1,8096333333;1752603310,086;9,9804321;9,980432749;9,9804325735;0,0000029188;0,0000026767
230;109,077;1,81795;1752603310,586;9,9804332;9,980432749;9,9804325762;0,0000029128;0,0000026767
231;109,578;1,8263;1752603311,086;9,9804365;9,980432815;9,9804325931;0,0000029179;0,0000026871
232;110,077;1,8346166667;1752603311,586;9,9804343;9,980432881;9,9804326004;0,0000029137;0,0000026408
233;110,578;1,8429666667;1752603312,086;9,9804376;9,980432969;9,9804326218;0,0000029258;0,0000026501
234;111,078;1,8513;1752603312,586;9,9804343;9,980432991;9,9804326289;0,0000029216;0,0000026519
235;111,577;1,8596166667;1752603313,085;9,9804332;9,980433002;9,9804326314;0,0000029156;0,0000026504
236;112,077;1,86795;1752603313,585;9,9804365;9,980433035;9,9804326477;0,0000029202;0,0000026734
237;112,577;1,8762833333;1752603314,086;9,9804376;9,980433123;9,9804326685;0,0000029317;0,0000026774
238;113,078;1,8846333333;1752603314,586;9,9804376;9,9804332;9,9804326891;0,0000029429;0,0000026944
239;113,578;1,8929666667;1752603315,087;9,9804365;9,980433255;9,980432705;0,000002947;0,0000027052
240;114,077;1,9012833333;1752603315,585;9,980431;9,980433255;9,9804326979;0,0000029429;0,0000027052
241;114,577;1,9096166667;1752603316,085;9,9804332;9,980433266;9,9804327;0,0000029369;0,0000027027
242;115,077;1,91795;1752603316,586;9,9804354;9,980433288;9,9804327111;0,000002936;0,0000027111
243;115,577;1,9262833333;1752603317,085;9,9804332;9,980433321;9,9804327131;0,0000029301;0,0000026894
244;116,077;1,9346166667;1752603317,585;9,9804343;9,980433299;9,9804327196;0,0000029258;0,0000026721
245;116,577;1,94295;1752603318,086;9,9804277;9,980433244;9,9804326992;0,0000029374;0,0000027301
246;117,077;1,9512833333;1752603318,586;9,9804332;9,980433277;9,9804327012;0,0000029316;0,0000027092
247;117,578;1,9596333333;1752603319,086;9,9804332;9,980433266;9,9804327032;0,0000029258;0,0000027072
248;118,077;1,96795;1752603319,585;9,9804299;9,980433244;9,980432692;0,0000029253;0,0000027256
249;118,577;1,9762833333;1752603320,085;9,9804365;9,980433277;9,9804327072;0,0000029293;0,000002745
