"index";"time";"minutes";"dateTime";"HP34401A.VoltageDC"
300;144,416;2,4069333333;1752136325,125;9,9802316
301;144,916;2,4152666667;1752136325,624;9,9802316
302;145,415;2,4235833333;1752136326,124;9,9802239
303;145,915;2,4319166667;1752136326,624;9,980225
304;146,415;2,44025;1752136327,124;9,9802217
305;146,916;2,4486;1752136327,624;9,980225
306;147,415;2,4569166667;1752136328,123;9,980225
307;147,915;2,46525;1752136328,623;9,9802283
308;148,416;2,4736;1752136329,124;9,9802272
309;148,916;2,4819333333;1752136329,624;9,9802261
310;149,416;2,4902666667;1752136330,125;9,9802272
311;149,916;2,4986;1752136330,624;9,9802294
312;150,416;2,5069333333;1752136331,124;9,9802261
313;150,916;2,5152666667;1752136331,624;9,9802283
314;151,415;2,5235833333;1752136332,124;9,9802239
315;151,915;2,5319166667;1752136332,624;9,9802261
316;152,416;2,5402666667;1752136333,124;9,980225
317;152,915;2,5485833333;1752136333,623;9,9802228
318;153,415;2,5569166667;1752136334,124;9,9802316
319;153,916;2,5652666667;1752136334,624;9,9802294
320;154,416;2,5736;1752136335,124;9,9802217
321;154,916;2,5819333333;1752136335,624;9,980225
322;155,416;2,5902666667;1752136336,124;9,9802217
323;155,915;2,5985833333;1752136336,623;9,9802217
324;156,415;2,6069166667;1752136337,123;9,9802196
325;156,915;2,61525;1752136337,623;9,9802228
326;157,415;2,6235833333;1752136338,123;9,9802228
327;157,915;2,6319166667;1752136338,624;9,9802272
328;158,415;2,64025;1752136339,123;9,9802239
329;158,916;2,6486;1752136339,624;9,9802239
330;159,415;2,6569166667;1752136340,123;9,9802239
331;159,916;2,6652666667;1752136340,624;9,980225
332;160,416;2,6736;1752136341,124;9,9802185
333;160,915;2,6819166667;1752136341,624;9,9802207
334;161,415;2,69025;1752136342,124;9,9802196
335;161,916;2,6986;1752136342,624;9,9802196
336;162,416;2,7069333333;1752136343,124;9,9802207
337;162,915;2,71525;1752136343,624;9,9802294
338;163,415;2,7235833333;1752136344,124;9,9802228
339;163,915;2,7319166667;1752136344,624;9,9802261
340;164,416;2,7402666667;1752136345,124;9,9802228
341;164,916;2,7486;1752136345,624;9,9802272
342;165,415;2,7569166667;1752136346,123;9,9802261
343;165,916;2,7652666667;1752136346,624;9,980225
344;166,416;2,7736;1752136347,124;9,9802316
345;166,916;2,7819333333;1752136347,624;9,980225
346;167,416;2,7902666667;1752136348,125;9,9802239
347;167,915;2,7985833333;1752136348,624;9,980225
348;168,415;2,8069166667;1752136349,124;9,980225
349;168,915;2,81525;1752136349,624;9,9802283
350;169,415;2,8235833333;1752136350,124;9,980225
351;169,916;2,8319333333;1752136350,624;9,9802305
352;170,416;2,8402666667;1752136351,124;9,9802228
353;170,916;2,8486;1752136351,624;9,9802272
354;171,416;2,8569333333;1752136352,125;9,980225
355;171,915;2,86525;1752136352,624;9,9802228
356;172,416;2,8736;1752136353,124;9,9802294
357;172,915;2,8819166667;1752136353,623;9,9802272
358;173,416;2,8902666667;1752136354,124;9,9802207
359;173,915;2,8985833333;1752136354,623;9,9802294
360;174,416;2,9069333333;1752136355,124;9,9802261
361;174,915;2,91525;1752136355,623;9,9802338
362;175,415;2,9235833333;1752136356,123;9,9802316
363;175,915;2,9319166667;1752136356,624;9,9802294
364;176,415;2,94025;1752136357,123;9,9802272
365;176,916;2,9486;1752136357,624;9,980225
366;177,416;2,9569333333;1752136358,124;9,9802239
367;177,915;2,96525;1752136358,623;9,9802261
368;178,416;2,9736;1752136359,124;9,9802261
369;178,915;2,9819166667;1752136359,624;9,9802305
370;179,416;2,9902666667;1752136360,124;9,9802294
371;179,916;2,9986;1752136360,624;9,9802283
372;180,415;3,0069166667;1752136361,124;9,9802272
373;180,915;3,01525;1752136361,624;9,9802327
374;181,416;3,0236;1752136362,124;9,980225
375;181,916;3,0319333333;1752136362,624;9,9802239
376;182,416;3,0402666667;1752136363,124;9,9802283
377;182,915;3,0485833333;1752136363,623;9,9802261
378;183,416;3,0569333333;1752136364,124;9,9802294
379;183,915;3,06525;1752136364,624;9,9802272
380;184,415;3,0735833333;1752136365,124;9,9802294
381;184,915;3,0819166667;1752136365,624;9,9802327
382;185,416;3,0902666667;1752136366,124;9,9802283
383;185,916;3,0986;1752136366,625;9,9802327
384;186,415;3,1069166667;1752136367,124;9,9802305
385;186,915;3,11525;1752136367,623;9,9802261
386;187,416;3,1236;1752136368,124;9,980225
387;187,916;3,1319333333;1752136368,624;9,9802239
388;188,415;3,14025;1752136369,123;9,9802239
389;188,915;3,1485833333;1752136369,624;9,980225
390;189,415;3,1569166667;1752136370,124;9,9802239
391;189,915;3,16525;1752136370,624;9,9802283
392;190,416;3,1736;1752136371,124;9,9802261
393;190,916;3,1819333333;1752136371,624;9,9802283
394;191,416;3,1902666667;1752136372,124;9,9802305
395;191,915;3,1985833333;1752136372,624;9,9802283
396;192,416;3,2069333333;1752136373,125;9,9802261
397;192,915;3,21525;1752136373,624;9,9802283
398;193,416;3,2236;1752136374,125;9,9802283
399;193,915;3,2319166667;1752136374,624;9,9802327
400;194,415;3,24025;1752136375,124;9,9802283
401;194,915;3,2485833333;1752136375,624;9,9802261
402;195,416;3,2569333333;1752136376,125;9,9802239
403;195,915;3,26525;1752136376,624;9,9802217
404;196,415;3,2735833333;1752136377,123;9,9802217
405;196,916;3,2819333333;1752136377,624;9,9802316
406;197,415;3,29025;1752136378,124;9,9802294
407;197,915;3,2985833333;1752136378,624;9,9802228
408;198,416;3,3069333333;1752136379,125;9,9802261
409;198,915;3,31525;1752136379,623;9,980225
410;199,415;3,3235833333;1752136380,123;9,9802228
411;199,916;3,3319333333;1752136380,624;9,9802261
412;200,416;3,3402666667;1752136381,125;9,9802261
413;200,915;3,3485833333;1752136381,624;9,9802261
414;201,415;3,3569166667;1752136382,124;9,9802261
415;201,915;3,36525;1752136382,623;9,980225
416;202,416;3,3736;1752136383,124;9,9802228
417;202,916;3,3819333333;1752136383,624;9,9802283
418;203,415;3,39025;1752136384,123;9,9802261
419;203,916;3,3986;1752136384,624;9,9802283
420;204,416;3,4069333333;1752136385,125;9,9802294
421;204,915;3,41525;1752136385,624;9,9802338
422;205,416;3,4236;1752136386,124;9,9802283
423;205,915;3,4319166667;1752136386,624;9,980225
424;206,415;3,44025;1752136387,124;9,9802272
